status_id	created_at	screen_name	text	favorite_count	retweet_count
1372949489548460039	2021-03-19T16:34:01Z	nytimes	"Don't usually talk about this stuff here (Never Tweet, etc.) but as an Asian American woman, the last few days have been tough -- feeling a lot of conflicted feelings and just exhaustion.
 
But it's helped a lot to be able to do what I do: Report, think and write."	0	45
1372948528700461065	2021-03-19T16:30:12Z	nytimes	“Forget pantsuit nation,” writes our chief fashion critic, @VVFriedman. “The Washington dress code is changing, one swearing-in at a time.” Deb Haaland, the first Native American member of the cabinet, began her job wearing traditional Indigenous dress. https://t.co/scL3QQFhQG https://t.co/fqv1zR4Cs6	831	73
1372944739637559296	2021-03-19T16:15:08Z	nytimes	"Chandro Tomar’s male relatives tried to forbid her trips to a shooting range. Now, the 89-year-old grandma is believed to be the oldest professional sharpshooter in the world, and she has dozens of medals to show for it. 

She’s a feminist icon in India.
https://t.co/9asHu1L2Sx https://t.co/xUpQ4xD2aF"	2000	494
1372941024004354060	2021-03-19T16:00:22Z	nytimes	A group of first-year Goldman Sachs analysts has made waves by assembling a presentation detailing how they worked an average of around 100 hours per work, with most saying that they considered themselves victims of workplace abuse. https://t.co/wpVGFn92Vj https://t.co/Wdg0MurHli	530	89
1372938905662656512	2021-03-19T15:51:57Z	nytimes	"The women's NCAA basketball tournament begins Sunday. Here's a preview.
https://t.co/keajHp6lDZ"	53	9
1372938563864686598	2021-03-19T15:50:36Z	nytimes	"The basketball bonanza known as the NCAA tournaments begins today, with 16 first-round games for the men's teams. Get live updates all weekend, including:
— Last-minute bracket tips
— How to watch the games
— Players, coaches and teams to watch
— Upsets!
https://t.co/lj4jkTX0yS"	113	19
1372937207691030533	2021-03-19T15:45:12Z	nytimes	Governments across Europe raced to lift suspensions on the AstraZeneca vaccine and reassure an exhausted and anxious public that it was safe. But the pace of inoculation remained too slow to blunt the latest wave of infection. https://t.co/AYnXSE8PMS	145	48
1372933450773192715	2021-03-19T15:30:17Z	nytimes	As Facebook has become more active at moderating political speech, it has had trouble dealing with satire. The company’s artificial intelligence systems — and even its human moderators — can have difficulty distinguishing them. https://t.co/mMBA7kAual	119	31
1372932140745306115	2021-03-19T15:25:04Z	nytimes	The man charged with murder in the Atlanta spa shootings asked a sheriff’s deputy after the attacks if he was going to spend “the rest of his life” in jail, according to a police report. It also said the comments were captured on an officer’s body camera. https://t.co/pzCVLtPnwV	149	42
1372931929520144385	2021-03-19T15:24:14Z	nytimes	France resumed administering the AstraZeneca vaccine on Friday, but only to people over 55, as the country’s prime minister got a shot live on television to restore crucial trust in the jab. https://t.co/inwszEmY7k	151	37
