user_id,screen_name,status_id,text,created_at,day,month,year,is_quote,is_retweet,favorite_count,retweet_count,quote_count
939091,JoeBiden,1451626914570031107,"Universal pre-K for 3- and 4-year-olds is not just an investment in education, it’s an investment in the future of America. 

We’re going to get it done with the Build Back Better Agenda.
https://t.co/FR3mzzbb4A",2021-10-22T19:10:01Z,22,10,2021,FALSE,FALSE,6159,946,NA
939091,JoeBiden,1451609449823670290,"Compromise has become a dirty word – but bipartisan compromise is still possible. 

I’m going to see it through. https://t.co/6cDhri0Ivg",2021-10-22T18:00:37Z,22,10,2021,FALSE,TRUE,0,1323,NA
939091,JoeBiden,1451596987644665856,"Climate change is an existential threat to humanity.

That’s why I’m making a commitment to get to net-zero emissions on electric power by 2035 and net-zero emissions across the board by 2050 or before.",2021-10-22T17:11:05Z,22,10,2021,FALSE,FALSE,25568,3276,NA
939091,JoeBiden,1451566771245391892,"It’s time corporate America and the super-wealthy start paying their fair share.
https://t.co/rjErYTQKqk",2021-10-22T15:11:01Z,22,10,2021,FALSE,FALSE,10191,1657,NA
939091,JoeBiden,1451386830994255902,"I ran for president for three reasons:
To restore the soul and decency of our country. 
To rebuild our economy from the bottom up and the middle out. 
And to help unite our country.

We’re on the right track—but there’s still work to be done.",2021-10-22T03:16:00Z,22,10,2021,FALSE,FALSE,58555,6475,NA
939091,JoeBiden,1450900197043757058,The sacred right to vote is under unrelenting assault across the country — and the Senate needs to take action to protect it. Senate Republicans need to allow a debate and let there be a vote on the Freedom to Vote Act. Democracy — the very soul of America — is at stake.,2021-10-20T19:02:18Z,20,10,2021,FALSE,TRUE,0,2593,NA
939091,JoeBiden,1450471875382059018,"Building back better starts in the states. Since flipping the legislature in 2019, Virginia Democrats have been a model of progress—including helping us vaccinate folks to beat the pandemic. To keep our progress, we must elect @TerryMcAuliffe and Democrats up and down the ballot. https://t.co/NsJiiPNzlv",2021-10-19T14:40:18Z,19,10,2021,FALSE,FALSE,7971,2016,NA
939091,JoeBiden,1450203535065460742,"For the better part of the 20th century, America led the world in investments in ourselves, in our people, in our country. But now, we risk losing our edge as a nation. Passing the Build Back Better Agenda will help us regain the momentum that we’ve lost.",2021-10-18T20:54:00Z,18,10,2021,FALSE,FALSE,18090,2731,NA
939091,JoeBiden,1450168825790541830,"Jill and I are deeply saddened by the passing of our dear friend and a patriot of unmatched honor and dignity, General Colin Powell. Time and again, he put country before self, before party, before all else—in uniform and out. He will be remembered as one of our great Americans.",2021-10-18T18:36:05Z,18,10,2021,FALSE,TRUE,0,6581,NA
939091,JoeBiden,1450148676899418118,"Folks, Virginia has an important election coming up on November 2 and we need your help reaching out to voters across the state to get out the vote. Sign up today to join a phone bank: https://t.co/FGrVXHp748",2021-10-18T17:16:01Z,18,10,2021,FALSE,FALSE,7009,2091,NA
939091,JoeBiden,1449887450676056075,A teacher shouldn’t pay a higher tax rate than a profitable company. It’s time we reward work in this country—not just wealth.,2021-10-17T23:58:00Z,17,10,2021,FALSE,FALSE,93950,10623,NA
939091,JoeBiden,1449830326566625290,"Passing the Build Back Better Agenda is about competitiveness versus complacency.
Opportunity versus decay.  
Leading the world or letting the world pass us by.

When workers and families have a better shot, America has a better shot.",2021-10-17T20:11:01Z,17,10,2021,FALSE,FALSE,12627,2152,NA
939091,JoeBiden,1449764172619730951,"The 21st century Jim Crow assault is real. It's unrelenting, and we're going to challenge it vigorously. https://t.co/jGkrvWB5Ev",2021-10-17T15:48:08Z,17,10,2021,FALSE,FALSE,16152,3389,NA
939091,JoeBiden,1449523302104457217,"It’s time to build an economy that works for working families. An economy where people from every race, background, and religion can get ahead.

Our Build Back Better Agenda will get it done.",2021-10-16T23:51:00Z,16,10,2021,FALSE,FALSE,26002,3422,NA
